"KEGG_ID"	"ENTREZID"	"SYMBOL"	"PATHWAY"
"229"	"mmu00052"	"69983"	"Sis"	"Galactose metabolism"
"230"	"mmu00052"	"72157"	"Pgm2"	"Galactose metabolism"
"231"	"mmu00052"	"74246"	"Gale"	"Galactose metabolism"
"232"	"mmu00052"	"76051"	"Ganc"	"Galactose metabolism"
"233"	"mmu00053"	"100559"	"Ugt2b38"	"Ascorbate and aldarate metabolism"
"234"	"mmu00053"	"100727"	"Ugt2b34"	"Ascorbate and aldarate metabolism"
"235"	"mmu00053"	"110695"	"Aldh7a1"	"Ascorbate and aldarate metabolism"
"236"	"mmu00053"	"112417"	"Ugt2b37"	"Ascorbate and aldarate metabolism"
"237"	"mmu00053"	"11669"	"Aldh2"	"Ascorbate and aldarate metabolism"
"238"	"mmu00053"	"11671"	"Aldh3a2"	"Ascorbate and aldarate metabolism"
"239"	"mmu00053"	"19733"	"Rgn"	"Ascorbate and aldarate metabolism"
"240"	"mmu00053"	"22235"	"Ugdh"	"Ascorbate and aldarate metabolism"
"241"	"mmu00053"	"22236"	"Ugt1a2"	"Ascorbate and aldarate metabolism"
"242"	"mmu00053"	"22238"	"Ugt2b5"	"Ascorbate and aldarate metabolism"
"243"	"mmu00053"	"231396"	"Ugt2b36"	"Ascorbate and aldarate metabolism"
"244"	"mmu00053"	"243085"	"Ugt2b35"	"Ascorbate and aldarate metabolism"
"245"	"mmu00053"	"268756"	"Gulo"	"Ascorbate and aldarate metabolism"
"246"	"mmu00053"	"394430"	"Ugt1a10"	"Ascorbate and aldarate metabolism"
"247"	"mmu00053"	"394432"	"Ugt1a7c"	"Ascorbate and aldarate metabolism"
"248"	"mmu00053"	"394433"	"Ugt1a5"	"Ascorbate and aldarate metabolism"
"249"	"mmu00053"	"394434"	"Ugt1a9"	"Ascorbate and aldarate metabolism"
"250"	"mmu00053"	"394435"	"Ugt1a6b"	"Ascorbate and aldarate metabolism"
"251"	"mmu00053"	"394436"	"Ugt1a1"	"Ascorbate and aldarate metabolism"
"252"	"mmu00053"	"552899"	"Ugt2a2"	"Ascorbate and aldarate metabolism"
"253"	"mmu00053"	"56727"	"Miox"	"Ascorbate and aldarate metabolism"
"254"	"mmu00053"	"56752"	"Aldh9a1"	"Ascorbate and aldarate metabolism"
"255"	"mmu00053"	"71773"	"Ugt2b1"	"Ascorbate and aldarate metabolism"
